Country,Reported_Days,Expected_Days,Completeness_%
Afghanistan,1143,1143,100.0
Albania,1143,1143,100.0
Algeria,1143,1143,100.0
Andorra,1143,1143,100.0
Angola,1143,1143,100.0
Antarctica,1143,1143,100.0
Antigua and Barbuda,1143,1143,100.0
Argentina,1143,1143,100.0
Armenia,1143,1143,100.0
Australia,1143,1143,100.0
Austria,1143,1143,100.0
Azerbaijan,1143,1143,100.0
Bahamas,1143,1143,100.0
Bahrain,1143,1143,100.0
Bangladesh,1143,1143,100.0
Barbados,1143,1143,100.0
Belarus,1143,1143,100.0
Belgium,1143,1143,100.0
Belize,1143,1143,100.0
Benin,1143,1143,100.0
Bhutan,1143,1143,100.0
Bolivia,1143,1143,100.0
Bosnia and Herzegovina,1143,1143,100.0
Botswana,1143,1143,100.0
Brazil,1143,1143,100.0
Brunei,1143,1143,100.0
Bulgaria,1143,1143,100.0
Burkina Faso,1143,1143,100.0
Burma,1143,1143,100.0
Burundi,1143,1143,100.0
Cabo Verde,1143,1143,100.0
Cambodia,1143,1143,100.0
Cameroon,1143,1143,100.0
Canada,1143,1143,100.0
Central African Republic,1143,1143,100.0
Chad,1143,1143,100.0
Chile,1143,1143,100.0
China,1143,1143,100.0
Colombia,1143,1143,100.0
Comoros,1143,1143,100.0
Congo (Brazzaville),1143,1143,100.0
Congo (Kinshasa),1143,1143,100.0
Costa Rica,1143,1143,100.0
Cote d'Ivoire,1143,1143,100.0
Croatia,1143,1143,100.0
Cuba,1143,1143,100.0
Cyprus,1143,1143,100.0
Czechia,1143,1143,100.0
Denmark,1143,1143,100.0
Diamond Princess,1143,1143,100.0
Djibouti,1143,1143,100.0
Dominica,1143,1143,100.0
Dominican Republic,1143,1143,100.0
Ecuador,1143,1143,100.0
Egypt,1143,1143,100.0
El Salvador,1143,1143,100.0
Equatorial Guinea,1143,1143,100.0
Eritrea,1143,1143,100.0
Estonia,1143,1143,100.0
Eswatini,1143,1143,100.0
Ethiopia,1143,1143,100.0
Fiji,1143,1143,100.0
Finland,1143,1143,100.0
France,1143,1143,100.0
Gabon,1143,1143,100.0
Gambia,1143,1143,100.0
Georgia,1143,1143,100.0
Germany,1143,1143,100.0
Ghana,1143,1143,100.0
Greece,1143,1143,100.0
Grenada,1143,1143,100.0
Guatemala,1143,1143,100.0
Guinea,1143,1143,100.0
Guinea-Bissau,1143,1143,100.0
Guyana,1143,1143,100.0
Haiti,1143,1143,100.0
Holy See,1143,1143,100.0
Honduras,1143,1143,100.0
Hungary,1143,1143,100.0
Iceland,1143,1143,100.0
India,1143,1143,100.0
Indonesia,1143,1143,100.0
Iran,1143,1143,100.0
Iraq,1143,1143,100.0
