Country,Total_Confirmed,Total_Deaths,Total_Recovered,Fatality_Rate_Pct,Recovery_Rate_Pct
US,103802702,1123836,6298082,1.08,6.07
India,44690738,530779,30974748,1.19,69.31
France,39866718,166176,415111,0.42,1.04
Germany,38249060,168935,3659260,0.44,9.57
Brazil,37081209,699276,17771228,1.89,47.93
Japan,33320438,72997,852451,0.22,2.56
"Korea, South",30615522,34093,180719,0.11,0.59
Italy,25603510,188322,4144608,0.74,16.19
United Kingdom,24658705,220721,24693,0.9,0.1
Russia,22075858,388478,5609682,1.76,25.41
