YearMonth,Year,Month,Monthly_New_Cases,Avg_Daily_New_Cases,Peak_Day_Cases
2020-01,2020,1,9370.0,1041.0,2651.0
2020-02,2020,2,76096.0,2624.0,15152.0
2020-03,2020,3,783348.0,25269.0,78442.0
2020-04,2020,4,2412716.0,80424.0,118581.0
2020-05,2020,5,2901229.0,93588.0,135043.0
2020-06,2020,6,4292072.0,143069.0,192490.0
2020-07,2020,7,7118656.0,229634.0,287462.0
2020-08,2020,8,7941296.0,256171.0,307073.0
2020-09,2020,9,8498335.0,283278.0,330614.0
2020-10,2020,10,12122070.0,391035.0,571742.0
2020-11,2020,11,17266494.0,575550.0,695342.0
2020-12,2020,12,20356383.0,656658.0,1495407.0
2021-01,2021,1,19546070.0,630518.0,869958.0
2021-02,2021,2,11253786.0,401921.0,536505.0
2021-03,2021,3,14772312.0,476526.0,673896.0
2021-04,2021,4,22542204.0,751407.0,907659.0
2021-05,2021,5,19347136.0,624101.0,872846.0
2021-06,2021,6,11472596.0,382420.0,487628.0
2021-07,2021,7,15676958.0,505708.0,732354.0
2021-08,2021,8,19894993.0,641774.0,819526.0
2021-09,2021,9,16061455.0,535382.0,723573.0
2021-10,2021,10,13064658.0,421441.0,522002.0
2021-11,2021,11,15702891.0,523430.0,742339.0
2021-12,2021,12,25614610.0,826278.0,1950126.0
2022-01,2022,1,90483564.0,2918825.0,4083281.0
2022-02,2022,2,58251972.0,2080428.0,3194077.0
2022-03,2022,3,51347034.0,1656356.0,2238861.0
2022-04,2022,4,25217142.0,840571.0,1419022.0
2022-05,2022,5,16213566.0,523018.0,760611.0
2022-06,2022,6,17732748.0,591092.0,1078183.0
2022-07,2022,7,29650733.0,956475.0,1602096.0
2022-08,2022,8,25713990.0,829484.0,1454180.0
2022-09,2022,9,14721332.0,490711.0,698025.0
2022-10,2022,10,12795215.0,412749.0,690207.0
2022-11,2022,11,12388536.0,412951.0,730695.0
2022-12,2022,12,17219669.0,555473.0,809102.0
2023-01,2023,1,10270797.0,331316.0,735250.0
2023-02,2023,2,4587649.0,163845.0,297815.0
2023-03,2023,3,1247911.0,138657.0,220614.0
